LessorID,Lessor,LastName,FirstName,Address,City,STATE,PostalCode,LessorSSN,HomePhone
1,"Edwards, David",Edwards,David,548 Hillview Drive,Chattanooga,GA,37421,256-15-7004,706-891-8501
2,"Hildebrandt, Roland",Hildebrandt,Roland,2402 Lake Forest Drive,West Nyack,NY,10994,060-09-8470,914-261-0685
3,"Pica, Jerry",Pica,Jerry,1969 Locust Court,Long Beach,CA,90808,607-98-7064,562-405-1263
4,"Oxley, Peter",Oxley,Peter,4541 Bassel Street,New Orleans,LA,70087,439-82-3066,985-498-9201
5,"Griffin, Fay",Griffin,Fay,1326 Woodbridge Lane,Detroit,MI,48202,383-23-6136,313-472-8550
6,"Peters, Bobby",Peters,Bobby,2769 Devils Hill Road,Jackson,MS,39201,425-59-6970,601-861-7086
7,"Stockton, Dorothy",Stockton,Dorothy,3609 Friendship Lane,Santa Clara,CA,95050,620-11-8176,408-639-8952
8,"Legrand, Alvin",Legrand,Alvin,4360 Haven Lane,Lansing,MI,48933,380-72-5591,517-710-9048
9,"Martin, Robert",Martin,Robert,611 Isaacs Creek Road,New Berlin,IL,62670,319-42-3777,217-488-9396
10,"Jones, William",Jones,William,4846 Juniper Drive,Kinde,MI,48445,377-21-4544,989-874-6807
11,"Bagby, Frank",Bagby,Frank,3139 Lilac Lane,Savannah,GA,31401,252-30-5788,912-443-4698
12,"Bartz, Virginia",Bartz,Virginia,1109 Bel Meadow Drive,Chino Hills,CA,91709,563-06-9355,909-393-6457
13,"Reed, Mary",Reed,Mary,4207 Travis Street,Vero Beach,FL,32960,594-31-3834,772-778-3676
14,"Flores, Lorraine",Flores,Lorraine,2561 Hilltop Drive,Coldwater,TX,79022,644-09-1182,806-343-7945
15,"Jackson, Cory",Jackson,Cory,222 University Drive,Chicago,IL,60605,321-76-3117,312-810-1776
16,"Crochet, William",Crochet,William,3066 Burton Avenue,Memphis,TN,38116,757-01-5629,901-596-9764
17,"Parmelee, Donald",Parmelee,Donald,2275 Augusta Park,Laurel Point,WV,26505,232-04-7434,304-808-8532
18,"Singleton, Sylvia",Singleton,Sylvia,4305 Horseshoe Lane,Philadelphia,PA,19108,203-52-4517,484-422-6514
19,"Stacy, David",Stacy,David,4296 Myra Street,Providence,RI,2903,039-44-0887,401-562-0235
20,"Bravo, Nestor",Bravo,Nestor,1071 Ruckman Road,Oklahoma City,OK,73102,447-08-6550,405-805-7722
21,"Warren, Joe",Warren,Joe,1106 Platinum Drive,Canonsburg,PA,15317,183-68-2549,724-754-1374
22,"Taylor, Michael",Taylor,Michael,1166 Retreat Avenue,Birmingham,AL,35222,421-18-5557,205-312-4950
23,"Pace, Margaret",Pace,Margaret,710 Bubby Drive,Austin,TX,78704,449-04-2925,512-428-1875
24,"Stevens, Bonnie",Stevens,Bonnie,2553 Colonial Drive,Columbus,TX,78934,463-74-8641,979-733-3586
25,"Smith, Melanie",Smith,Melanie,2058 Cabell Avenue,Savage,VA,20763,224-67-2210,703-523-6046
26,"Birmingham, Rosetta",Birmingham,Rosetta,3923 Pearl Street,Sacramento,CA,95814,626-70-1768,916-290-6917
27,"Gutierrez, William",Gutierrez,William,1262 Eagle Lane,Duluth,MN,55802,471-03-7006,218-723-1604
28,"Cleveland, Gregory",Cleveland,Gregory,4718 Rebecca Street,Schaumburg,IL,60173,349-74-8009,847-762-1186
29,"Crotts, Charles",Crotts,Charles,4576 Scheuvront Drive,Boulder,CO,80301,651-03-8612,303-527-5502
30,"Cole, David",Cole,David,2189 Roosevelt Wilson Lane,Ontario,CA,91761,571-98-4556,909-930-8944
31,"Barley, Gloria",Barley,Gloria,2857 Wood Street,New Orleans,LA,70113,439-14-9953,985-803-4446
32,"Mullin, Charlie",Mullin,Charlie,3432 Broadway Street,Florence,SC,29501,247-47-2205,843-765-8928
